Title : Minecraft, company : Mojang, Price : $6.99
Title : THE GAME OF LIFE 2 - More choices, more freedom!, company : Marmalade Game Studio, Price : $3.99
Title : Monopoly - Board game classic about real-estate!, company : Marmalade Game Studio, Price : $3.99$2.49
Title : Bloons TD 6, company : ninja kiwi, Price : $4.99
Title : Neo Monsters, company : ZigZaGame Inc., Price : $0.99
Title : Geometry Dash, company : RobTop Games, Price : $1.99
Title : Cultist Simulator, company : Playdigious, Price : $6.99
Title : Five Nights at Freddy's, company : Clickteam USA LLC, Price : $2.99
Title : Ultimate Custom Night, company : Clickteam USA LLC, Price : $2.99
Title : Terraria, company : 505 Games Srl, Price : $4.99
Title : The Game of Life, company : Marmalade Game Studio, Price : $2.99$1.49
Title : Grand Theft Auto: San Andreas, company : Rockstar Games, Price : $6.99
Title : Pascal's Wager, company : Giant Global, Price : $3.99
Title : DraStic DS Emulator, company : Exophase, Price : $4.99
Title : Five Nights at Freddy's 2, company : Clickteam USA LLC, Price : $2.99
Title : Clue, company : Marmalade Game Studio, Price : $3.99$0.99
Title : Stardew Valley, company : Chucklefish Limited, Price : $7.99
Title : True Skate, company : True Axis, Price : $1.99
Title : My Boy! - GBA Emulator, company : Fast Emulator, Price : $4.99
Title : FNaF 6: Pizzeria Simulator, company : Clickteam USA LLC, Price : $2.99
Title : Human: Fall Flat, company : 505 Games Srl, Price : $4.99
Title : Five Nights at Freddy's: SL, company : Clickteam USA LLC, Price : $2.99
Title : Five Nights at Freddy's 4, company : Clickteam USA LLC, Price : $2.99
Title : Bloons TD 5, company : ninja kiwi, Price : $2.99
Title : TL Pro, company : PixelCurves, Price : $0.99
Title : 60 Seconds! Atomic Adventure, company : Robot Gentleman, Price : $3.99$0.99
Title : Assassin's Creed Identity, company : Ubisoft Entertainment, Price : $1.99
Title : Battle Chasers: Nightwar, company : HandyGames, Price : $9.99
Title : Scribblenauts Remix, company : Warner Bros. International Enterprises, Price : $0.99
Title : Arrog, company : Playdigious, Price : $2.99$1.99
Title : RollerCoaster Tycoon® Classic, company : Atari, Inc., Price : $5.99
Title : NBA 2K20, company : 2K, Inc., Price : $5.99
Title : The Room, company : Fireproof Games, Price : $0.99
Title : ePSXe for Android, company : epsxe software s.l., Price : $3.75
Title : Grand Theft Auto: Vice City, company : Rockstar Games, Price : $4.99
Title : Pocket City, company : Codebrew Games, Price : $2.99
Title : Poly Bridge, company : Dry Cactus Limited, Price : $0.99
Title : Call of Duty:Black Ops Zombies, company : Activision Publishing, Inc., Price : $6.99
Title : Farming Simulator 20, company : GIANTS Software, Price : $5.99
Title : Pirates Outlaws, company : Fabled Game, Price : $0.99
Title : RFS - Real Flight Simulator, company : RORTOS, Price : $0.99
Title : Hitman Sniper, company : SQUARE ENIX LTD, Price : $0.99
Title : Castlevania: Symphony of the Night, company : KONAMI, Price : $2.99
Title : Five Nights at Freddy's 3, company : Clickteam USA LLC, Price : $2.99
Title : Exploding Kittens® - Official, company : Exploding Kittens, Price : $1.99
Title : John GBA - GBA emulator, company : John emulators, Price : $2.99
Title : THE GAME OF LIFE Vacations, company : Marmalade Game Studio, Price : $1.99$0.99
Title : Rusted Warfare - RTS Strategy, company : Corroding games, Price : $1.99$0.99
Title : Jazza's Arty Games, company : Jazza Studios, Price : $2.99
Title : Bendy and the Ink Machine, company : Joey Drew Studios, Price : $6.99
